Position (mm), Angle (deg), Efficiency
89, 30, 0.00000
89, 40, 0.00000
89, 50, 0.00000
89, 60, 0.82942
89, 70, 0.89883
89, 80, 0.87465
90, 0, 0.00000
90, 10, 0.00000
90, 20, 0.00000
90, 30, 0.00000
90, 40, 0.00000
90, 50, 0.00000
90, 60, 0.83190
90, 70, 0.89863
90, 80, 0.87376
91, 0, 0.00000
91, 10, 0.00000
91, 20, 0.00000
91, 30, 0.00000
91, 40, 0.00000
91, 50, 0.00000
91, 60, 0.83531
91, 70, 0.79920
91, 80, 0.87555
92, 0, 0.00000
92, 10, 0.00000
92, 20, 0.00000
92, 30, 0.00000
92, 40, 0.00000
92, 50, 0.00000
92, 60, 0.83675
92, 70, 0.80633
92, 80, 0.87365
93, 0, 0.00000
93, 10, 0.00000
93, 20, 0.00000
93, 30, 0.00000
93, 40, 0.00000
93, 50, 0.00000
93, 60, 0.00261
93, 70, 0.81157
93, 80, 0.87695
94, 0, 0.00000
94, 10, 0.00000
94, 20, 0.00000
94, 30, 0.00000
94, 40, 0.00000
94, 50, 0.00000
94, 60, 0.00298
94, 70, 0.81229
94, 80, 0.87516
95, 0, 0.00000
95, 10, 0.00000
95, 20, 0.00000
95, 30, 0.00000
95, 40, 0.00000
95, 50, 0.00000
95, 60, 0.00275
95, 70, 0.81954
95, 80, 0.87405
96, 0, 0.00000
96, 10, 0.00000
96, 20, 0.00000
96, 30, 0.00000
96, 40, 0.00000
96, 50, 0.00001
96, 60, 0.00000
96, 70, 0.82440
96, 80, 0.87716
97, 0, 0.00000
97, 10, 0.00000
97, 20, 0.00000
97, 30, 0.00000
97, 40, 0.00000
97, 50, 0.00000
97, 60, 0.00000
97, 70, 0.82775
97, 80, 0.87668
98, 0, 0.00000
98, 10, 0.00000
98, 20, 0.00000
98, 30, 0.00000
98, 40, 0.00000
98, 50, 0.00000
98, 60, 0.00182
98, 70, 0.83126
98, 80, 0.87658
99, 0, 0.00000
99, 10, 0.00000
99, 20, 0.00000
99, 30, 0.00000
99, 40, 0.00000
99, 50, 0.00000
99, 60, 0.00171
99, 70, 0.83371
99, 80, 0.87828
100, 0, 0.00000
100, 10, 0.00000
100, 20, 0.00000
100, 30, 0.00000
100, 40, 0.00000
100, 50, 0.00000
100, 60, 0.00181
100, 70, 0.83595
100, 80, 0.87446
0, -10, 0.94414
0, -20, 0.94498
0, -30, 0.94637
0, -40, 0.94811
0, -50, 0.94395
0, -60, 0.92154
0, -70, 0.85311
1, -10, 0.94616
1, -20, 0.94738
1, -30, 0.94916
1, -40, 0.94843
1, -50, 0.94366
1, -60, 0.92071
1, -70, 0.84963
2, -10, 0.94594
2, -20, 0.94739
2, -30, 0.94928
2, -40, 0.94892
2, -50, 0.94265
2, -60, 0.91985
2, -70, 0.84468
3, -10, 0.94653
3, -20, 0.94744
3, -30, 0.94782
3, -40, 0.94860
3, -50, 0.94337
3, -60, 0.91894
3, -70, 0.84223
4, -10, 0.94379
4, -20, 0.94577
4, -30, 0.94809
4, -40, 0.94830
4, -50, 0.94174
4, -60, 0.91564
4, -70, 0.83653
5, -10, 0.94409
5, -20, 0.94575
5, -30, 0.94785
5, -40, 0.94708
5, -50, 0.94073
5, -60, 0.91446
5, -70, 0.83225
6, -10, 0.94521
6, -20, 0.94663
6, -30, 0.94779
6, -40, 0.94701
6, -50, 0.93970
6, -60, 0.91237
6, -70, 0.82956
7, -10, 0.94498
7, -20, 0.94596
7, -30, 0.94660
7, -40, 0.94606
7, -50, 0.93881
7, -60, 0.91121
7, -70, 0.82534
8, -10, 0.94530
8, -20, 0.94599
8, -30, 0.94862
8, -40, 0.94645
8, -50, 0.93782
8, -60, 0.90915
8, -70, 0.82256
9, -10, 0.94527
9, -20, 0.94633
9, -30, 0.94716
9, -40, 0.94658
9, -50, 0.93812
9, -60, 0.90651
9, -70, 0.81430
10, -10, 0.94484
10, -20, 0.94592
10, -30, 0.94623
10, -40, 0.94574
10, -50, 0.93671
10, -60, 0.90392
10, -70, 0.80785
11, -10, 0.94338
11, -20, 0.94408
11, -30, 0.94537
11, -40, 0.94415
11, -50, 0.93484
11, -60, 0.90136
11, -70, 0.80016
12, -10, 0.94431
12, -20, 0.94479
12, -30, 0.94560
12, -40, 0.94332
12, -50, 0.93346
12, -60, 0.89748
12, -70, 0.79473
13, -10, 0.94448
13, -20, 0.94486
13, -30, 0.94567
13, -40, 0.94237
13, -50, 0.93172
13, -60, 0.89405
13, -70, 0.78615
14, -10, 0.94237
14, -20, 0.94331
14, -30, 0.94345
14, -40, 0.94063
14, -50, 0.92843
14, -60, 0.89041
14, -70, 0.77842
15, -10, 0.94246
15, -20, 0.94320
15, -30, 0.94403
15, -40, 0.94152
15, -50, 0.92839
15, -60, 0.88727
15, -70, 0.76428
16, -10, 0.94172
16, -20, 0.94301
16, -30, 0.94275
16, -40, 0.93924
16, -50, 0.92679
16, -60, 0.88376
16, -70, 0.01947
17, -10, 0.94163
17, -20, 0.94216
17, -30, 0.94160
17, -40, 0.93875
17, -50, 0.92251
17, -60, 0.87693
17, -70, 0.01907
18, -10, 0.94112
18, -20, 0.94078
18, -30, 0.93985
18, -40, 0.93649
18, -50, 0.92062
18, -60, 0.86879
18, -70, 0.01819
19, -10, 0.94077
19, -20, 0.94043
19, -30, 0.94001
19, -40, 0.93503
19, -50, 0.91804
19, -60, 0.02195
19, -70, 0.01658
20, -10, 0.94043
20, -20, 0.94047
20, -30, 0.93950
20, -40, 0.93259
20, -50, 0.91300
20, -60, 0.02139
20, -70, 0.01868
21, -10, 0.94107
21, -20, 0.94021
21, -30, 0.93837
21, -40, 0.93122
21, -50, 0.90831
21, -60, 0.02188
21, -70, 0.00047
22, -10, 0.93900
22, -20, 0.93908
22, -30, 0.93684
22, -40, 0.92766
22, -50, 0.02059
22, -60, 0.02018
22, -70, 0.00054
23, -10, 0.93985
23, -20, 0.93891
23, -30, 0.93566
23, -40, 0.92700
23, -50, 0.02138
23, -60, 0.02003
23, -70, 0.00047
24, -10, 0.93859
24, -20, 0.93733
24, -30, 0.93358
24, -40, 0.92161
24, -50, 0.02034
24, -60, 0.01966
24, -70, 0.00069
25, -10, 0.93763
25, -20, 0.93602
25, -30, 0.93310
25, -40, 0.00155
25, -50, 0.02097
25, -60, 0.02046
25, -70, 0.00064
26, -10, 0.93588
26, -20, 0.93410
26, -30, 0.92885
26, -40, 0.02140
26, -50, 0.02092
26, -60, 0.00088
26, -70, 0.00074
27, -10, 0.93448
27, -20, 0.93146
27, -30, 0.92469
27, -40, 0.02163
27, -50, 0.02043
27, -60, 0.00088
27, -70, 0.00098
28, -10, 0.93315
28, -20, 0.93079
28, -30, 0.00010
28, -40, 0.02084
28, -50, 0.02003
28, -60, 0.00110
28, -70, 0.00129
29, -10, 0.93199
29, -20, 0.92815
29, -30, 0.00204
29, -40, 0.02002
29, -50, 0.02033
29, -60, 0.00110
29, -70, 0.00142
30, -10, 0.93125
30, -20, 0.92630
30, -30, 0.02353
30, -40, 0.02119
30, -50, 0.02003
30, -60, 0.00152
30, -70, 0.00194
31, -10, 0.92901
31, -20, 0.00002
31, -30, 0.02363
31, -40, 0.02043
31, -50, 0.00140
31, -60, 0.00177
31, -70, 0.00000
32, -10, 0.92670
32, -20, 0.00006
32, -30, 0.02440
32, -40, 0.02058
32, -50, 0.00190
32, -60, 0.00209
32, -70, 0.00001
33, -10, 0.92629
33, -20, 0.00172
33, -30, 0.02354
33, -40, 0.02083
33, -50, 0.00209
33, -60, 0.00244
33, -70, 0.00000
34, -10, 0.92366
34, -20, 0.04677
34, -30, 0.02321
34, -40, 0.02017
34, -50, 0.00238
34, -60, 0.00341
34, -70, 0.00000
35, -10, 0.00009
35, -20, 0.04773
35, -30, 0.02369
35, -40, 0.02000
35, -50, 0.00286
35, -60, 0.00446
35, -70, 0.00000
36, -10, 0.00011
36, -20, 0.04817
36, -30, 0.02414
36, -40, 0.01976
36, -50, 0.00372
36, -60, 0.00000
36, -70, 0.00001
37, -10, 0.00120
37, -20, 0.04951
37, -30, 0.02402
37, -40, 0.00265
37, -50, 0.00453
37, -60, 0.00000
37, -70, 0.00001
38, -10, 0.89984
38, -20, 0.05045
38, -30, 0.02345
38, -40, 0.00303
38, -50, 0.00004
38, -60, 0.00000
38, -70, 0.00005
39, -10, 0.89969
39, -20, 0.05105
39, -30, 0.02470
39, -40, 0.00392
